index,ch2,ch3,ch4
61,-3.612709,-0.085926,400.000000
62,-90.473377,-30.918697,400.000000
63,-318.741217,-251.729423,-100.197756
64,-113.128533,-109.804119,-400.000048
65,0.395489,-0.263214,-400.000048
66,23.970988,-2.506304,-400.000048
67,142.782896,36.772971,-400.000048
68,337.895767,270.196518,11.101343
69,113.546910,110.969747,400.000000
70,0.183916,0.180054,400.000000
71,-3.678132,-0.086260,400.000000
72,-91.149770,-31.329922,400.000000
73,-318.358269,-251.653892,-103.835547
74,-110.850681,-107.608999,-400.000048
75,0.434685,-0.231648,-400.000048
76,23.966363,-2.503920,-400.000048
77,142.721098,37.025027,-400.000048
78,337.901585,270.637544,13.338854
79,113.266672,110.736431,400.000000
80,0.180960,0.178003,400.000000
81,-3.675557,-0.086737,400.000000
82,-91.263639,-31.506781,400.000000
83,-318.721714,-252.190191,-103.260386
84,-111.411013,-108.178867,-400.000048
85,0.517178,-0.239420,-400.000048
86,25.243905,-2.625370,-400.000048
87,144.620388,36.311297,-400.000048
88,338.676302,269.924291,11.375476
89,113.860811,111.245216,400.000000
90,0.188303,0.184965,400.000000
91,-3.597308,-0.085449,400.000000
92,-90.285789,-30.856899,400.000000
93,-317.389383,-250.532895,-99.650681
94,-111.360229,-108.046878,-400.000048
95,0.449705,-0.237370,-400.000048
96,24.222329,-2.525091,-400.000048
97,142.815559,36.465125,-400.000048
98,338.035671,270.078262,11.831762
99,114.056982,111.463608,400.000000
100,0.193405,0.189924,400.000000
101,-3.741408,-0.085497,400.000000
102,-91.262542,-30.749039,400.000000
103,-319.019070,-251.248485,-98.625243
104,-113.139309,-109.769310,-400.000048
105,0.316572,-0.261593,-400.000048
106,22.994950,-2.430964,-400.000048
107,141.056316,36.800770,-400.000048
108,337.799303,270.288643,6.488133
109,115.496458,112.836422,400.000000
110,0.214481,0.210953,400.000000
111,-3.847933,-0.085163,400.000000
112,-91.404115,-30.260042,400.000000
113,-318.676843,-250.151140,-96.454250
114,-113.663639,-110.201181,-400.000048
115,0.334072,-0.269032,-400.000048
116,23.259595,-2.502632,-400.000048
117,140.926569,35.645012,-400.000048
118,337.647860,269.561657,8.085586
119,115.197672,112.548508,400.000000
120,0.210905,0.206995,400.000000
121,-3.605414,-0.084782,400.000000
122,-89.871751,-30.133060,400.000000
123,-318.708935,-250.649434,-94.295608
124,-115.368618,-111.866344,-400.000048
125,0.524378,-0.295496,-400.000048
126,25.906089,-2.641106,-400.000048
127,144.884365,34.937100,-400.000048
128,339.352076,268.712123,4.294920
129,116.770901,113.966049,400.000000
130,0.235891,0.232506,400.000000
131,-3.420258,-0.083542,400.000000
132,-87.614404,-29.082397,400.000000
133,-316.559448,-248.413020,-87.119399
134,-116.495051,-112.851013,-400.000048
135,0.408936,-0.313425,-400.000048
136,24.497083,-2.497387,-400.000048
137,142.221658,34.872488,-400.000048
138,338.241188,268.616994,5.756760
139,116.456761,113.699974,400.000000
140,0.232840,0.229168,400.000000
141,-4.126692,-0.086117,400.000000
142,-94.411909,-31.627850,400.000000
143,-319.427051,-251.299840,-107.268632
144,-109.056772,-105.831302,-400.000048
145,0.545025,-0.208473,-400.000048
146,25.103858,-2.547551,-400.000048
147,143.600433,35.933880,-400.000048
148,338.883870,269.390901,3.334999
149,116.979041,114.179529,400.000000
150,0.238752,0.235319,400.000000
151,-3.535986,-0.083828,400.000000
152,-88.904344,-29.531721,400.000000
153,-317.413177,-249.059707,-90.889417
154,-115.146222,-111.565079,-400.000048
155,0.292110,-0.292206,-400.000048
156,22.803452,-2.387333,-400.000048
157,139.183395,35.083537,-400.000048
158,337.019293,268.478139,0.776672
159,117.795529,114.987292,400.000000
160,0.256062,0.252199,400.000000
161,-3.460885,-0.083113,400.000000
162,-88.584148,-29.553465,400.000000
163,-317.584362,-249.400455,-92.537891
164,-115.203585,-111.646856,-400.000048
165,0.334406,-0.292015,-400.000048
166,23.230603,-2.391386,-400.000048
167,139.447467,34.568409,-400.000048
168,337.594979,268.248733,-1.873160
169,119.011798,116.128125,400.000000
170,0.276613,0.272942,400.000000
171,-3.391934,-0.082541,400.000000
172,-86.946498,-28.354934,400.000000
173,-316.720094,-247.501880,-83.399830
174,-118.424382,-114.605393,-400.000048
175,0.273991,-0.346327,-400.000048
176,23.041966,-2.388335,-400.000048
177,138.529842,33.711962,-400.000048
178,336.900513,267.209371,-2.604771
179,119.345918,116.428484,400.000000
180,0.284147,0.280476,400.000000
181,-3.211499,-0.081825,400.000000
182,-85.885630,-28.375724,400.000000
183,-316.286840,-247.717505,-84.087382
184,-118.306985,-114.530052,-400.000048
185,0.388670,-0.344610,-400.000048
186,24.580625,-2.451706,-400.000048
187,140.762680,33.318190,-400.000048
188,338.298790,267.077144,-6.030656
189,120.937743,117.910113,400.000000
190,0.313711,0.310326,400.000000
191,-3.141261,-0.081396,400.000000
192,-85.052930,-27.945951,400.000000
193,-315.685501,-246.956902,-81.266413
194,-119.004216,-115.158953,-400.000048
195,0.144577,-0.356293,-400.000048
196,21.446517,-2.253151,-400.000048
197,135.285346,33.388428,-400.000048
198,335.649387,266.477903,-8.955432
199,121.293464,118.271031,400.000000
200,0.322008,0.318623,400.000000
201,-2.989817,-0.080204,400.000000
202,-83.453951,-27.331355,400.000000
203,-315.187539,-246.401673,-77.390442
204,-121.060100,-117.111935,-400.000048
205,0.013828,-0.395584,-400.000048
206,19.962885,-2.092648,-400.000048
207,132.691685,33.815150,-400.000048
208,335.167734,267.048486,-11.649944
209,122.637620,119.605317,400.000000
210,0.349903,0.346661,400.000000
211,-3.048134,-0.079727,400.000000
212,-83.358632,-26.756337,400.000000
213,-315.084781,-245.400601,-73.460492
214,-122.796169,-118.699756,-400.000048
215,0.187206,-0.430584,-400.000048
216,22.860387,-2.313328,-400.000048
217,136.539905,31.727127,-400.000048
218,336.378853,264.918550,-12.837268
219,122.918334,119.735923,400.000000
220,0.354528,0.351334,400.000000
221,-2.950383,-0.079584,400.000000
222,-82.750855,-26.821187,400.000000
