sample_index,CH2,CH3,CH4
164,-0.22830663272661797,-0.8393260849744972,-0.943557473528028
165,-0.1939579920415695,-0.8723535683054019,-0.9375241522668889
166,-0.15857417490767364,-0.8824509264490453,-0.9071394288904896
167,-0.12385005120894231,-0.8712796640883141,-0.8575210528248774
168,-0.09065362330356169,-0.8413730805754637,-0.7936425063960966
169,-0.05989444195995398,-0.7970248901421803,-0.7210480460760599
170,-0.03271771089246815,-0.7433288717484955,-0.6457226689740599
171,-0.010010855611268969,-0.6844516284507048,-0.5724546776822085
172,0.007962528613060935,-0.6226835110444405,-0.5034325629283527
173,0.021392223339696006,-0.5596272370025968,-0.4394010715621463
174,0.03071911261092518,-0.4969161776202185,-0.3807457012751403
175,0.03645436628018612,-0.4361973962335838,-0.3275731430390132
176,0.03906550770679654,-0.37901489122214255,-0.27979296332055814
177,0.03898207222421888,-0.32660499878347987,-0.23725600608340183
178,0.036732141529281385,-0.2796436010897604,-0.19982014864000905
179,0.032844814577106335,-0.2382501794040767,-0.16725750912968568
180,0.02780153839600656,-0.20228982233660006,-0.13929428626794566
181,0.022116566420216473,-0.17142199947974027,-0.11552745588509317
182,0.016381940133823283,-0.1452530130777767,-0.09550030194113591
183,0.011116522408461676,-0.1233015295081921,-0.07875639449857838
184,0.006603268856370422,-0.1051061060736861,-0.06482926619676611
185,0.002870535811540581,-0.09019484371943871,-0.053281942057063034
186,-0.000163533361590617,-0.07809839787714137,-0.04368800904546355
187,-0.0025907135072640083,-0.0682372405234606,-0.03561297173753402
188,-0.004471276419007348,-0.06004621687258933,-0.02865893196551194
189,-0.005819304253434618,-0.053054177191180475,-0.022529438679601634
190,-0.006644682994340724,-0.04695100648688267,-0.01698511824516332
191,-0.007036580754505417,-0.04156592841507684,-0.011871927047753531
192,-0.00711516006040624,-0.03673225380882921,-0.007098096413826517
193,-0.006992858670380186,-0.03230774843995461,-0.0025699264797768425
194,-0.006756015447294258,-0.028169762467483688,0.0018077846545185548
195,-0.006428503573635073,-0.024276129362005083,0.006073232999365899
196,-0.005930658972743562,-0.020590609001133808,0.010218838191620712
197,-0.005218421408189706,-0.017213575126255595,0.014198443736587204
198,-0.0043721215732386316,-0.014246321095065666,0.01800036846931562
199,-0.0034275535601579624,-0.011658771614215139,0.021679521540988105
200,-0.002374480770302103,-0.009275245742482199,0.025292123404131568
201,-0.0011475124287559002,-0.00693634312530092,0.028868311514566168
202,0.0002054775112858412,-0.004594481736796189,0.032382838684493764
203,0.0015478915904941542,-0.0022299404701547495,0.03580862190170111
204,0.002836497081232933,0.00030690586093270425,0.03913758011581093
205,0.004129150750417085,0.0032206209000854922,0.042407408647860634
206,0.005445562392693169,0.00658327566289911,0.045699600315814
207,0.006854206360142599,0.010517145309889434,0.04911925137845829
208,0.008388112110078321,0.015075976679927097,0.05270634597149941
209,0.00997896530189909,0.020215322203480688,0.05643883170755393
210,0.01155117188501787,0.025759570015157003,0.06027083817889004
211,0.012998810966774632,0.031527011543228234,0.06414581382265769
212,0.014311964885249221,0.03732517531686461,0.06808769719636107
213,0.0156457334488255,0.04307504306063474,0.07215702411216954
214,0.01714218292006581,0.04871125447733735,0.07640398301305278
215,0.018847249183674954,0.054205404151917484,0.0808366099304935
216,0.020692236462528883,0.05953283324539889,0.0853990685492992
217,0.022483422266359108,0.06453989845007765,0.08997682389134248
218,0.0242200760250133,0.06914042892210145,0.09453287470785732
219,0.02593392389269498,0.07330084214838244,0.09904888792519956
220,0.02761686022613437,0.07710410825299618,0.10352481717503292
221,0.029228863082329932,0.08059201905838596,0.10800200555735653
222,0.030705242144188603,0.08389103905031636,0.1124572085694197
223,0.03187646649007405,0.08697242219888536,0.11682729427342038
224,0.03252144320527249,0.08963167389845846,0.1210360177060897
225,0.03249343419588372,0.09171767124948041,0.12505560440497504
226,0.031856304475704686,0.09332060504078851,0.12891344997127158
227,0.0308654168884507,0.09473577418105192,0.13272127866548314
228,0.029624849728403027,0.09620558270561408,0.1365185977496831
229,0.02816839548864174,0.09779781004743349,0.14031525520891902
230,0.026550287088465734,0.09949552891190443,0.14414887479372634
231,0.024929788795312,0.10138640965121412,0.14806935881060168
232,0.02345640561249013,0.10350846342525788,0.1521506183174553
233,0.022239715378013555,0.105938904222627,0.15644498748581556
234,0.021433451060155696,0.10889377377873584,0.16098544089384212
235,0.021164165910048608,0.11248114425721877,0.16576768828886473
236,0.02147696938658,0.11667645895393546,0.1707868672110449
237,0.02222092727901295,0.1213002571870532,0.17599803703007394
238,0.023316853486925106,0.12624583000741393,0.18138636938319255
239,0.024875088812294072,0.13167172619419437,0.1869875329660995
240,0.02697399417850327,0.13770706685599213,0.19279428112248942
241,0.029540487013367468,0.1443422134693604,0.1987468197322754
242,0.032443310608364404,0.1515221598533409,0.20478905016106985
243,0.03562438687677452,0.159183929831029,0.21091203297230346
244,0.038973885003307,0.1671561689359917,0.21714752678292823
245,0.042339090616267505,0.175285472214439,0.2235185402441854
246,0.04555136298475011,0.18343270576669518,0.22999231589217
247,0.048574749283961105,0.19155733881464534,0.2365404831624776
248,0.051362583750048194,0.19957449471661212,0.24315043095775257
249,0.05381587568576825,0.2072778736375103,0.24980594805672668
250,0.05592683746218349,0.21459840267819502,0.2565387930589966
251,0.05783213134097543,0.2216959589197443,0.26341560520344137
252,0.05968460026356438,0.2287804532884003,0.2705003534375083
253,0.061517623557969255,0.23590488320422734,0.2778076302119712
254,0.06335469413079199,0.24314189858987148,0.28527780826199767
255,0.0653008440558822,0.25061360419648954,0.29286186994767877
256,0.06745916627252281,0.2583992234830232,0.3005798436547059
257,0.06987426169169167,0.2664896969013561,0.308424887988537
258,0.07258100374855307,0.27490484761199985,0.316377930676873
259,0.07543297237244986,0.2835971625460464,0.32438001201115896
260,0.07822369779608172,0.29243612489666404,0.33232997218606625
261,0.08070366774947403,0.3010560008680841,0.3400850711878468
262,0.08278304685463359,0.3091465400777634,0.3475231683671516
263,0.08461445556604584,0.31684473138833713,0.3545913359930805
264,0.08644317970682015,0.32439331934203414,0.36131901996029453
265,0.08836932406578962,0.33184441577171386,0.36774756324860874
266,0.09037346623964537,0.33916542578220127,0.3738600154849159
267,0.09240035745871578,0.34635968756568447,0.3796471033718651
268,0.09431711985774528,0.3533483189517779,0.38507375671534605
269,0.09616755965721703,0.36013258047923774,0.3901345169088547
270,0.09801201343735669,0.3667112463185468,0.3948100016957406
271,0.09993243440172381,0.37326183647342553,0.3991188804256266
272,0.10191728387346356,0.37994163942294584,0.40305440702106676
273,0.10371129578338308,0.38648832689412155,0.4065493724422219
274,0.10498621618204962,0.3925636172547457,0.4095256719153454
275,0.10555649260669332,0.3979873344663703,0.41189025181643696
276,0.10540858367532212,0.4026624765219348,0.4135668908716091
277,0.10462968781760945,0.4065216734384705,0.414516632631734
278,0.10341066787644262,0.40961359697242206,0.41474324525854067
279,0.10190856304421425,0.4120522115160402,0.4142563620078751
280,0.10027573951119803,0.413977196608528,0.41311420584415337
281,0.09860273357800112,0.4153634504686237,0.4113565461279117
282,0.09688080403957158,0.41609465916491917,0.40901640496942154
283,0.09515693606919844,0.4161813474623341,0.40614015591728914
284,0.09357891822986954,0.4156741625685768,0.4027476603672655
285,0.09230642822820127,0.4147242281016444,0.3989129961027406
286,0.09140212329448352,0.4135431238235558,0.3947172980941627
287,0.09075801651663852,0.41220193281400813,0.3901991674286621
288,0.0902082011578189,0.4106413572312921,0.38536463720783426
289,0.08961334621087573,0.40873622757552486,0.38018435920816035
290,0.08882347130639803,0.40634165371910325,0.3745736720854078
291,0.08769806924314903,0.4033615191666634,0.36844469584036466
292,0.08618424371299921,0.39971302480215876,0.36173615798663156
293,0.08437675900083526,0.39543135465756196,0.35441143851803064
294,0.08225403111312317,0.3905107869408489,0.34647740497859253
295,0.07965180636359807,0.384761983469494,0.3378742869077331
296,0.07642423698446718,0.3778833790135218,0.3285414793759225
297,0.07267044238181232,0.3698296742833344,0.3184438405570883
298,0.06864753402752535,0.36074194521790404,0.3075996820731327
299,0.06452793710595692,0.35065043716059524,0.2960697540542588
