sample_index,timestamp_ms,ch2_mv,packet_index
58180,116360.000,-10.050632,2327
58181,116362.000,-10.421802,2327
58182,116364.000,-11.026574,2327
58183,116366.000,-11.395265,2327
58184,116368.000,-11.457302,2327
58185,116370.000,-11.281587,2327
58186,116372.000,-10.904933,2327
58187,116374.000,-10.453273,2327
58188,116376.000,-10.141088,2327
58189,116378.000,-9.945680,2327
58190,116380.000,-10.000421,2327
58191,116382.000,-10.363628,2327
58192,116384.000,-10.967018,2327
58193,116386.000,-11.343051,2327
58194,116388.000,-11.425830,2327
58195,116390.000,-11.259891,2327
58196,116392.000,-10.870124,2327
58197,116394.000,-10.407640,2327
58198,116396.000,-10.107614,2327
58199,116398.000,-9.920884,2327
58200,116400.000,-9.977390,2328
58201,116402.000,-10.350801,2328
58202,116404.000,-10.960676,2328
58203,116406.000,-11.346961,2328
58204,116408.000,-11.427547,2328
58205,116410.000,-11.258603,2328
58206,116412.000,-10.888292,2328
58207,116414.000,-10.444976,2328
58208,116416.000,-10.142375,2328
58209,116418.000,-9.954168,2328
58210,116420.000,-10.016109,2328
58211,116422.000,-10.392047,2328
58212,116424.000,-10.999872,2328
58213,116426.000,-11.381437,2328
58214,116428.000,-11.473991,2328
58215,116430.000,-11.313058,2328
58216,116432.000,-10.926057,2328
58217,116434.000,-10.460044,2328
58218,116436.000,-10.160638,2328
58219,116438.000,-9.974576,2328
58220,116440.000,-10.035230,2328
58221,116442.000,-10.410405,2328
58222,116444.000,-11.012842,2328
58223,116446.000,-11.382200,2328
58224,116448.000,-11.440422,2328
58225,116450.000,-11.263229,2329
58226,116452.000,-10.879995,2329
58227,116454.000,-10.432388,2329
58228,116456.000,-10.126687,2329
58229,116458.000,-9.935046,2329
58230,116460.000,-9.991313,2329
58231,116462.000,-10.365011,2329
58232,116464.000,-10.968639,2329
58233,116466.000,-11.340619,2329
58234,116468.000,-11.409522,2329
58235,116470.000,-11.232997,2329
58236,116472.000,-10.845519,2329
58237,116474.000,-10.396625,2329
58238,116476.000,-10.096837,2329
58239,116478.000,-9.917022,2329
58240,116480.000,-9.989167,2329
58241,116482.000,-10.381795,2329
58242,116484.000,-10.991384,2329
58243,116486.000,-11.368133,2329
58244,116488.000,-11.438610,2329
58245,116490.000,-11.269523,2329
58246,116492.000,-10.888339,2329
58247,116494.000,-10.448886,2329
58248,116496.000,-10.149528,2329
58249,116498.000,-9.969331,2329
58250,116500.000,-10.038091,2330
58251,116502.000,-10.421802,2330
58252,116504.000,-11.024906,2330
58253,116506.000,-11.386920,2330
58254,116508.000,-11.434509,2330
58255,116510.000,-11.257268,2330
58256,116512.000,-10.877944,2330
58257,116514.000,-10.439636,2330
58258,116516.000,-10.139323,2330
58259,116518.000,-9.957029,2330
58260,116520.000,-10.022260,2330
58261,116522.000,-10.404922,2330
58262,116524.000,-11.006166,2330
58263,116526.000,-11.372615,2330
58264,116528.000,-11.431981,2330
58265,116530.000,-11.253168,2330
58266,116532.000,-10.860206,2330
58267,116534.000,-10.411979,2330
58268,116536.000,-10.114290,2330
58269,116538.000,-9.930946,2330
58270,116540.000,-9.997083,2330
58271,116542.000,-10.386707,2330
58272,116544.000,-10.994483,2330
58273,116546.000,-11.360504,2330
58274,116548.000,-11.411001,2330
58275,116550.000,-11.230565,2331
58276,116552.000,-10.845710,2331
58277,116554.000,-10.416461,2331
58278,116556.000,-10.118724,2331
58279,116558.000,-9.941531,2331
58280,116560.000,-10.022641,2331
58281,116562.000,-10.422899,2331
58282,116564.000,-11.034824,2331
58283,116566.000,-11.405565,2331
58284,116568.000,-11.459161,2331
58285,116570.000,-11.280061,2331
58286,116572.000,-10.885097,2331
58287,116574.000,-10.444928,2331
58288,116576.000,-10.147525,2331
